"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","VARIABLE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"Jan 2016-Dec 2016","Wigan","E08000010","% aged 16-64 who are employees","Variable",67.3,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","% aged 16-64 who are employees","Numerator",135700,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","% aged 16-64 who are employees","Denominator",201700,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","% aged 16-64 who are employees","Confidence",3.1,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","% aged 16-64 who are self employed","Variable",7.9,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","% aged 16-64 who are self employed","Numerator",15900,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","% aged 16-64 who are self employed","Denominator",201700,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","% aged 16-64 who are self employed","Confidence",1.8,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","% who are economically inactive - aged 16-64","Variable",20.7,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","% who are economically inactive - aged 16-64","Numerator",41900,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","% who are economically inactive - aged 16-64","Denominator",201700,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","% who are economically inactive - aged 16-64","Confidence",2.6,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 16-64","Variable",79.3,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 16-64","Numerator",159800,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 16-64","Denominator",201700,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 16-64","Confidence",2.6,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 16-19","Variable",51.9,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 16-19","Numerator",7800,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 16-19","Denominator",15000,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 16-19","Confidence",12.1,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 20-24","Variable",80.2,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 20-24","Numerator",12300,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 20-24","Denominator",15300,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 20-24","Confidence",10.6,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 25-34","Variable",84.3,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 25-34","Numerator",36700,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 25-34","Denominator",43500,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 25-34","Confidence",5.6,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 35-49","Variable",87.8,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 35-49","Numerator",56300,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 35-49","Denominator",64200,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 35-49","Confidence",3.8,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 50+","Variable",41.7,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 50+","Numerator",50200,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 50+","Denominator",120300,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 50+","Confidence",4.0,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 50-64","Variable",73.4,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 50-64","Numerator",46800,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 50-64","Denominator",63700,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 50-64","Confidence",4.8,"Normal Value"
"Jan 2016-Dec 2016","Wigan","E08000010","Economic activity rate - aged 65+","Variable",6.0,"Normal Value"
